id,name,side,avg_bat_speed,swing_tilt,attack_angle,attack_direction,ideal_attack_angle_rate,avg_intercept_y_vs_plate,avg_intercept_y_vs_batter,avg_batter_x_position,competitive_swings,swing_length,pull_air_rate,EV,LA,barrel_per,hardhit_per,z_contact_per,wOBA
553882,"Narváez, Omar",L,66.66016881756755,36.905134790558414,10.57737484859605,-1.063948396,0.50675675675675675676,3.341255167225699,29.84479702787186,28.05712647690218,296,6.963838885,0.16867469879518074,86.1,20.6,0.048,0.265,0.883,0.235
656577,"Jackson, Alex",R,74.52142468227429,30.349979020368746,10.561730076654094,-5.331463348,0.60200668896321070234,4.067887861368081,34.063607864079444,27.312526311362266,299,7.50684612,0.16129032258064518,86.8,20.2,0.097,0.312,0.735,0.206
701305,"Dezenzo, Zach",R,74.23815453333336,39.78053340945263,12.541888875630036,1.182627739072527,0.42333333333333333333,4.8073926480111915,30.227693160180177,28.042999186665796,300,7.550580667,0.14851485148514848,88.6,14.7,0.139,0.406,0.78,0.298
663611,"Madrigal, Nick",R,65.71709481727575,27.502719152613167,3.7454897736177197,3.498051780347234,0.40199335548172757475,5.882314134358913,27.733698302267765,23.41328717281286,301,6.450404718,0.10060975609756095,86,3.6,0.006,0.253,0.963,0.282
664314,"Florial, Estevan",L,72.72281381107497,34.55933935237963,12.471410852168406,-4.719730383,0.43973941368078175896,3.829617317,33.97610335107269,27.141822118795847,307,7.197057557,0.15000000000000002,87.6,14.7,0.07,0.38,0.696,0.281
656248,"Bouchard, Sean",R,71.69354042207786,37.58704006212714,13.464194088497775,-2.248578449,0.54220779220779220779,4.449599578,32.20745468652927,25.920441541746065,308,7.342623247,0.20799999999999996,89,12.5,0.064,0.352,0.831,0.285
543685,"Rendon, Anthony",R,68.26698944983818,33.41482581077192,8.324839671070205,-3.14994891,0.51456310679611650485,3.5972551549568137,27.323940215048758,24.433253370854107,309,6.733558738,0.1433333333333333,88.8,15,0.033,0.383,0.91,0.285
670223,"Mervis, Matt",L,73.83164951612899,33.305825904584324,18.014918774911752,-11.57799382,0.51935483870967741935,7.488203515252849,33.748286059072754,29.10276316686563,310,8.212460226,0.2312925170068027,89.2,15.4,0.101,0.412,0.775,0.247
664901,"Mendick, Danny",R,67.17527582802548,29.039825836825894,11.911683285554677,3.0741891951399984,0.64331210191082802548,-1.385295583,26.19019813484772,30.78447035941026,314,7.031223871,0.15540540540540543,85.7,12.9,0.054,0.284,0.8,0.24
675961,"Williams, Alika",R,69.34980879746841,35.25194732365295,8.653364999788955,-3.425815426,0.46835443037974683544,-2.210515042,29.75450300277511,27.69630546822898,316,6.945788797,0.15328467153284672,85.3,12.9,0.036,0.263,0.846,0.238
666165,"Sabol, Blake",L,71.60047769716085,36.416271497289706,15.769952278978954,1.3708959922452582,0.50788643533123028391,7.415024333919748,34.57880569729115,28.81024162623073,317,7.333167319,0.15217391304347827,89.1,15.2,0.109,0.391,0.784,0.301
682668,"Acuña, Luisangel",R,71.40376343750005,25.20693376250414,3.2004006017767814,5.500286908452588,0.40000000000000000000,1.2130829875641576,28.966003236078127,25.393139001896948,320,7.26235425,0.057692308,88.8,4.9,0.026,0.372,0.891,0.283
691594,"Sanoja, Javier",R,67.25373732919252,21.046321324381175,2.5504899826012846,-3.705559976,0.33850931677018633540,6.970479994237162,28.298554544117014,27.902738487332286,322,7.246995435,0.16042780748663102,88.4,12.4,0.011,0.358,0.937,0.263
665923,"Ruiz, Esteury",R,70.61961857585139,35.29784610351992,12.284142557220926,-2.742256159,0.47368421052631578947,-2.074766426,28.299607364301888,29.37372264838584,323,7.486951304,0.1546134663341646,83.1,10.4,0.032,0.208,0.85,0.287
702358,"Lipscomb, Trey",R,69.77951826625386,33.024059105485726,3.3519379376613387,3.1084190617456984,0.34984520123839009288,-4.101298979,25.686619663183524,28.873418967415144,323,7.641032693,0.083870968,86.6,-0.2,0.006,0.314,0.859,0.235
621512,"Nido, Tomás",R,70.47771219135795,32.461918764981874,14.827136508306147,3.4603656950522597,0.57407407407407407407,-0.164834983,26.72107827667223,32.15567273283605,324,7.971838488,0.14371257485029937,88.2,11.6,0.072,0.365,0.781,0.218
677942,"Alexander, Blaze",R,73.31200564024385,34.64441575951412,7.560957264210584,4.339446016171004,0.38414634146341463415,-2.788718706,24.404741183787703,29.73885270056578,328,7.392774238,0.10218978102189782,89.1,7.7,0.051,0.372,0.871,0.297
676701,"Trejo, Alan",R,66.89868167,36.50721403836737,13.172421371338618,-0.484623375,0.52424242424242424242,4.463453192,34.31088750215759,28.412229692121247,330,7.006893758,0.18106995884773663,86,14.6,0.045,0.239,0.868,0.241
670097,"Short, Zack",R,70.24198236,33.30207648318044,10.878478509431817,-2.858323155,0.61329305135951661631,0.3627688961607085,35.311202223815904,26.28055647088031,331,7.050003909,0.19545454545454546,87.8,20.9,0.077,0.314,0.819,0.275
680118,"Blanco, Dairon",R,74.12466161676637,31.587424364499242,9.725903219843117,-0.093377136,0.55089820359281437126,-3.272501422,24.816000579316036,28.126615953341755,334,7.46680979,0.095238095,87.6,9.3,0.068,0.337,0.824,0.317
700337,"Quero, Edgar",R,67.11180862170089,31.973563707858496,5.304437065206656,11.203678995663987,0.47507331378299120235,-9.528955232,24.213267294331164,30.330726263115714,341,6.644118886,0.078431373,90.9,6.2,0.013,0.471,0.899,0.322
660757,"Gonzalez, Oscar",R,73.65519593567252,31.284331802255707,4.095363003586614,1.9811851363342319,0.37719298245614035088,3.311767290585911,29.320216865409876,31.027603637472726,342,7.124135702,0.10344827586206895,88.7,5.3,0.075,0.42,0.822,0.233
691777,"Muncy, Max",R,73.08296245614035,30.961208279898134,9.350247012544818,-5.861337903,0.49122807017543859649,7.687501899,33.17903304581975,28.288643197194794,342,7.349018743,0.22900763358778625,91,22.2,0.136,0.473,0.822,0.353
672478,"Diaz, Jordan",R,73.24854375000001,26.561699591605016,7.247153461317302,0.016398657371548567,0.47674418604651162791,1.6812567036933204,31.204250920382634,25.32763932344752,344,7.446485982,0.1127450980392157,90,5.4,0.064,0.436,0.854,0.278
664059,"Haggerty, Sam",R,71.08131555232558,31.771299763831088,3.260500741677701,-2.660800462,0.31104651162790697674,8.035115778059968,28.66966400014737,30.000657069449097,344,7.029639942,0.1473684210526316,87.3,9.4,0.021,0.353,0.847,0.302
693049,"Colás, Oscar",L,75.37028475362318,33.18314343694995,6.793397318498256,-3.68987304,0.40000000000000000000,2.9464031859843263,31.104404178245392,26.042154987167333,345,7.660405423,0.11940298507462688,88.6,6.8,0.065,0.403,0.832,0.256
642851,"Wynns, Austin",R,69.87789762318836,36.080096440547955,12.30964125163689,-3.71226583,0.43478260869565217391,3.224694111,32.13106582691672,28.10475137173144,345,7.310241391,0.20689655172413793,87.7,14.3,0.052,0.333,0.825,0.307
543063,"Crawford, Brandon",L,71.12219439306357,32.853071405648116,13.597216294713697,-0.346263709,0.55202312138728323699,3.0364998986323077,33.09349676634227,26.068853582426964,346,7.544678035,0.17460317460317462,89.8,13.9,0.095,0.413,0.831,0.258
695238,"Wagner, Will",L,68.77649902,32.32290556,4.217605383540079,1.540917465939653,0.36705202312138728324,0.9054516216328786,25.20849453283133,26.65404507352003,346,6.395953295,0.15789473684210525,88.8,7.6,0.06,0.444,0.905,0.314
645801,"Ford, Mike",L,70.72334447,28.54166985774556,14.169812777586666,-8.258900941,0.55907780979827089337,9.634022343,33.82877831635214,25.13432805139328,347,7.015755634,0.27717391304347827,88.2,20.1,0.136,0.418,0.813,0.311
493329,"Gurriel, Yuli",R,71.83714968571427,24.592680014912368,2.6948243183793803,-6.334904151,0.32000000000000000000,12.962514974375361,28.366960481176488,28.70646389700644,350,7.804237029,0.19877675840978595,88.6,15.8,0.018,0.355,0.908,0.276
642180,"Wade, Tyler",L,65.60587800569797,32.57551562012415,7.360205020320652,-1.148278136,0.48433048433048433048,-3.788919894,27.77655748001817,27.310270067642374,351,6.684422222,0.12719298245614036,83.6,11.9,0.009,0.17,0.874,0.258
641645,"Guillorme, Luis",L,65.17095812,34.46501316078025,5.8234304290850805,13.272121367920464,0.41025641025641025641,-8.665847958,20.084917236413965,27.82890949916279,351,7.484786467,0.09009009,85.8,7.9,0.018,0.23,0.891,0.259
